brand,attracti,quiet,unreliab,poorly_b,interest,sporty,uncomfor,roomy,easy_ser,hi_prest,common,economic,successf,avant_ga,poor_val
G20,5.6,6.3,2.9,1.6,3.4,4.1,3.2,4.2,2.4,5.4,3.5,3.6,5.3,4.3,3.4
Ford T-Bird,4,3.6,4.2,4.2,2,4.9,4,3.9,2.1,3.5,3.6,3.7,4.2,3.6,4.3
Audi 90,4.6,5.2,3.7,2.6,3,3.8,2.4,5.3,3.5,5.6,3.4,3.6,5,3.6,4.3
Toyota Supra,5.6,4.2,2,2.1,2.7,6.2,3.7,3.5,2.1,5.3,2.9,3.2,5.5,4.9,3.5
Eagle Talon,4,3.5,4.3,4.3,3.1,4.9,4,3.6,2.4,2.8,4.3,4.9,3.7,4.4,3.6
Honda Prelude,5.2,5.4,3.2,2.8,3.6,5.1,3.3,3.9,2,4.7,3.9,5,5.6,3.9,2.6
Saab 900,5.3,4.8,3.7,2.8,3.6,4.3,2.5,5.8,3.2,5.4,1.9,4.3,5.3,4.7,2.9
Pontiac Firebird,3.9,2.8,3.9,4.4,1.6,5.7,4.3,3.3,2.3,3.8,4.3,3.1,4.4,4.1,4.3
BMW 318i,5.7,5,2.3,1.8,3.7,4.1,3.5,4.3,2.9,6.4,2.8,4.3,5.9,3.7,3.3
Mercury Capri,3.9,3.3,4,4.3,3.1,5.2,4.4,3.6,2.4,3.3,3.9,4.6,3.9,4.5,3.8
