ID,Type,Price_thousands,MPG.highway
1,Midsize,15.7,31
2,Large,20.8,28
3,Large,23.7,25
4,Midsize,26.3,27
5,Large,34.7,25
6,Midsize,40.1,25
7,Compact,13.4,36
8,Compact,11.4,34
9,Sporty,15.1,28
10,Midsize,15.9,29
11,Van,16.3,23
12,Van,16.6,20
13,Large,18.8,26
14,Sporty,38,25
15,Large,18.4,28
16,Compact,15.8,28
17,Large,29.5,26
18,Small,9.2,33
19,Small,11.3,29
20,Compact,13.3,27
21,Van,19,21
22,Midsize,15.6,27
23,Sporty,25.8,24
24,Small,12.2,33
25,Large,19.3,28
26,Small,7.4,33
27,Small,10.1,30
28,Compact,11.3,27
29,Sporty,15.9,29
30,Sporty,14,30
31,Van,19.9,20
32,Midsize,20.2,30
33,Large,20.9,26
34,Midsize,34.3,26
35,Large,36.1,26
36,Sporty,14.1,26
37,Midsize,14.9,26
38,Compact,13.5,31
39,Midsize,16.3,31
40,Van,19.5,23
41,Large,20.7,28
42,Sporty,14.4,30
43,Small,9,41
44,Compact,11.1,31
45,Sporty,17.7,28
46,Midsize,18.5,27
47,Large,24.4,28
48,Small,11.1,38
49,Midsize,16.2,31
50,Large,20.8,28
51,Large,24.3,25
52,Midsize,26.9,27
53,Large,35.4,25
54,Midsize,40.5,25
55,Compact,13.8,36
56,Compact,12.3,34
57,Sporty,16,28
58,Midsize,16.2,29
59,Van,17.1,23
60,Van,16.9,20
61,Large,19.5,26
62,Sporty,38.1,25
63,Large,19.1,28
64,Compact,16.3,28
65,Large,30.3,26
66,Small,9.4,33
67,Small,11.7,29
68,Compact,14.2,27
69,Van,19.9,21
